feature,importance
num_sites,0.20648600649836524
num_secondary_outcomes,0.05717796937648394
age_range_years,0.0499420795616424
max_age_years,0.04525582798089316
min_age_years,0.0353479429877641
approval_year,0.03526289812747122
num_drugs,0.031138047033415262
num_primary_outcomes,0.029953460316397538
healthy_volunteers,0.02942282445624308
sponsor_class_INDUSTRY,0.02876972541471945
sponsor_class_OTHER,0.028411990333415217
num_collaborators,0.02710201989268814
num_conditions,0.026131131599326392
years_since_approval,0.02542385615873212
has_dmc,0.019716789397614343
masking_NONE,0.015115513892438873
phases_PHASE2,0.01408067936749526
intervention_model_SINGLE_GROUP,0.013296888464262163
is_fda_regulated_drug,0.012169896827186713
phases_PHASE3,0.011140289143390844
intervention_model_CROSSOVER,0.010849493287038976
phases_PHASE1,0.010128386654887927
submission_type_SUPPL,0.009894041680297932
masking_DOUBLE,0.009310237099469749
phases_NA,0.009274016435309753
therapeutic_class_epc_OTHER,0.008260691093305654
sex_FEMALE,0.008232611384988726
dosage_form_TABLET,0.007490818462522653
has_fda_record,0.00747631979163783
application_type_NDA,0.007380669998859372
primary_purpose_PREVENTION,0.007232596485389066
dosage_form_INJECTABLE,0.006616649091960574
phases_PHASE1|PHASE2,0.006517239399452706
sex_MALE,0.006438987467338569
masking_TRIPLE,0.006112758630604439
route_INJECTION,0.00588293461192191
mechanism_of_action_OTHER,0.005854873262733666
sponsor_class_NIH,0.005760914874939088
intervention_model_UNKNOWN,0.005624625515615021
masking_UNKNOWN,0.005333311013704371
primary_purpose_BASIC_SCIENCE,0.00515167192810279
masking_SINGLE,0.005145386157712328
primary_purpose_UNKNOWN,0.005098885400692455
application_type_BLA,0.004899158084451031
dosage_form_CAPSULE,0.00437847426157907
route_INTRAVENOUS,0.0038683022018942328
dosage_form_SOLUTION,0.003539228907015137
marketing_status_Discontinued,0.003193830315908238
phases_PHASE2|PHASE3,0.002852272030067876
primary_purpose_DIAGNOSTIC,0.002789817706103191
review_priority_PRIORITY,0.0025772907802184743
primary_purpose_OTHER,0.0025684006046069584
priority_review,0.0025214903584799475
phases_UNKNOWN,0.0024287099084518817
primary_purpose_SUPPORTIVE_CARE,0.002388499066851864
intervention_model_SEQUENTIAL,0.0022131892799129495
route_SUBCUTANEOUS,0.002197743771200983
sponsor_class_OTHER_GOV,0.001974174928514966
sponsor_class_NETWORK,0.0018905253713337009
dosage_form_VIAL,0.0014884597814305155
mechanism_of_action_Nucleic Acid Synthesis Inhibitors [MoA],0.0014807660773049336
phases_EARLY_PHASE1,0.0014786761408843855
therapeutic_class_epc_Platinum-based Drug [EPC],0.0013964618073011048
intervention_model_FACTORIAL,0.00135791658041848
therapeutic_class_epc_Nucleoside Metabolic Inhibitor [EPC],0.001344801257321291
dosage_form_POWDER,0.0013438068064131718
therapeutic_class_epc_Vascular Endothelial Growth Factor Inhibitor [EPC],0.0011813206874854221
therapeutic_class_epc_Kinase Inhibitor [EPC],0.0011581035341270492
mechanism_of_action_Corticosteroid Hormone Receptor Agonists [MoA],0.0011005054372975102
therapeutic_class_epc_Corticosteroid [EPC],0.0010644611555629192
route_OPHTHALMIC,0.001026330117348963
route_TOPICAL,0.0010234891370026887
therapeutic_class_epc_Atypical Antipsychotic [EPC],0.0009452434771556376
mechanism_of_action_Programmed Death Receptor-1-directed Antibody Interactions [MoA],0.000921876728291564
review_priority_N/A,0.0009189101727016787
marketing_status_Over-the-counter,0.0008987385990324904
therapeutic_class_epc_CD20-directed Cytolytic Antibody [EPC],0.0008763648980290939
