feature,importance_mean,importance_std
num_sites,0.13960511441905155,0.0083118765218714
healthy_volunteers,0.02772558572391339,0.004259513456286318
masking_NONE,0.009167882358588208,0.0020101658484416164
is_fda_regulated_drug,0.008340522700932862,0.004090693416094577
num_collaborators,0.007489291541853205,0.0033907420879952057
has_dmc,0.007418280719381132,0.004357723094597842
num_drugs,0.0029892531812500513,0.002358972357436661
primary_purpose_BASIC_SCIENCE,0.0021238582463876552,0.0007533482276489229
phases_PHASE1,0.0015684029919071029,0.003281972260050978
sex_FEMALE,0.0014991105862777853,0.00137825226810637
phases_PHASE3,0.0011567601939892036,0.001906060864928309
masking_SINGLE,0.0010422756526772049,0.0015666873829443824
primary_purpose_DIAGNOSTIC,0.0009218731474461394,0.0005120914924804172
therapeutic_class_epc_Programmed Death Receptor-1 Blocking Antibody [EPC],0.0009115842807545071,0.0005103934931867162
mechanism_of_action_Programmed Death Receptor-1-directed Antibody Interactions [MoA],0.00081150712342839,0.00036102118547158015
phases_PHASE1|PHASE2,0.0007795038439548652,0.0004917583596147827
masking_UNKNOWN,0.0005882505996638087,0.0018549525414500024
intervention_model_SEQUENTIAL,0.000583683708882754,0.0017547082340112286
route_SOLUTION,0.0005167639110662536,0.0
dosage_form_INJECTION,0.0005167639110662536,0.0
dosage_form_POWDER,0.0004982266961578663,0.0006102005909097223
masking_DOUBLE,0.0004741712970050216,0.0024703712695051815
dosage_form_CAPSULE,0.0004095007863374134,0.0006852573042585471
route_INTRAVENOUS,0.00037947303518726105,0.0007801568832419803
phases_NA,0.0003263014221317917,0.001204013022418743
route_INJECTION,0.00024973465858633135,0.0009892218104141947
mechanism_of_action_Full Opioid Agonists [MoA],0.00024911334807893316,0.0004982266961578664
"dosage_form_FILM, EXTENDED RELEASE",0.0002273412788167395,0.0
primary_purpose_UNKNOWN,0.00022526693410582777,0.00107357203671299
application_type_NDA,0.0002038699741078398,0.0005195885693958629
route_IRRIGATION,0.00015204965730879482,0.00030409931461758963
dosage_form_TABLET,0.00013656784958335778,0.0010575352233060979
therapeutic_class_epc_General Anesthetic [EPC],0.00007624280958340446,0.00029747781943889606
intervention_model_FACTORIAL,0.0,0.0
primary_purpose_HEALTH_SERVICES_RESEARCH,0.0,0.0
primary_purpose_SCREENING,0.0,0.0
sponsor_class_INDIV,0.0,0.0
sponsor_class_NETWORK,0.0,0.0
marketing_status_None (Tentative Approval),0.0,0.0
therapeutic_class_epc_Alkylating Drug [EPC],0.0,0.0
therapeutic_class_epc_Amide Local Anesthetic [EPC],0.0,0.0
therapeutic_class_epc_Atypical Antipsychotic [EPC],0.0,0.0
therapeutic_class_epc_CD20-directed Cytolytic Antibody [EPC],0.0,0.0
therapeutic_class_epc_Epidermal Growth Factor Receptor Antagonist [EPC],0.0,0.0
therapeutic_class_epc_GLP-1 Receptor Agonist [EPC],0.0,0.0
therapeutic_class_epc_HMG-CoA Reductase Inhibitor [EPC],0.0,0.0
therapeutic_class_epc_Insulin Analog [EPC],0.0,0.0
therapeutic_class_epc_Kinase Inhibitor [EPC],0.0,0.0
therapeutic_class_epc_Leukocyte Growth Factor [EPC],0.0,0.0
therapeutic_class_epc_Microtubule Inhibitor [EPC],0.0,0.0
therapeutic_class_epc_Nonsteroidal Anti-inflammatory Drug [EPC],0.0,0.0
