feature,importance_mean,importance_std
num_sites,0.10951917686836751,0.0041012480242987245
healthy_volunteers,0.04405497170490669,0.004806725618632722
masking_NONE,0.010181285409284447,0.003567800373783587
masking_UNKNOWN,0.005397159726429157,0.0006661614902614527
phases_PHASE2,0.005312087469656834,0.004098732803903441
is_fda_regulated_drug,0.005046806350945565,0.003657486745889062
has_dmc,0.004971624427314736,0.0009602283497866993
num_collaborators,0.004912034875946758,0.0033575279517389957
approval_year,0.004284676318668357,0.004265230094759016
min_age_years,0.004102012417033518,0.002363853164998986
intervention_model_SEQUENTIAL,0.004099775119946569,0.002050499472314885
primary_purpose_UNKNOWN,0.0024206971279268517,0.000658830239441664
phases_PHASE3,0.0017078814387738062,0.0006964347308390734
max_age_years,0.0016816368434145357,0.0003104999672412933
intervention_model_UNKNOWN,0.0012598198633700485,0.0004767381926890501
years_since_approval,0.0011852837599300114,0.0016784913070344446
phases_PHASE1|PHASE2,0.001018286007601943,0.001576680459488215
primary_purpose_PREVENTION,0.0008806543941555223,0.0012665091448726133
review_priority_PRIORITY,0.000873022118882183,0.000027665716016089803
sponsor_class_OTHER_GOV,0.0008373677040407479,0.0006531029415377655
primary_purpose_BASIC_SCIENCE,0.0008367475350631981,0.00029632613801448517
masking_SINGLE,0.0007831420731863936,0.0006254044458951813
mechanism_of_action_Programmed Death Ligand-1 Antagonists [MoA],0.00074268284073149,0.00037134142036574506
route_SUBCUTANEOUS,0.0007021382438155088,0.0006308639293427154
therapeutic_class_epc_Insulin Analog [EPC],0.0006824494719291918,0.0
route_TOPICAL,0.0006233771513094677,0.00043746265700604555
"dosage_form_SPRAY, METERED",0.00047688981921867324,0.00027327013016020807
intervention_model_CROSSOVER,0.00038388563622664406,0.003344849993290194
application_type_BLA,0.0003278456527452844,0.0007661414707581858
dosage_form_TABLET,0.00028581309035624614,0.0005943876507628732
mechanism_of_action_Nucleic Acid Synthesis Inhibitors [MoA],0.00026445309059435206,0.0005761304229771312
phases_UNKNOWN,0.0002493616292821077,0.0005974531372450345
mechanism_of_action_Vascular Endothelial Growth Factor Inhibitors [MoA],0.00022890005312763416,0.0002813465857440521
dosage_form_INJECTABLE,0.00021640616713087814,0.00036352295984581895
