application_number,application_type,sponsor_name,generic_name,brand_name,manufacturer_name,marketing_status,therapeutic_class_epc,therapeutic_class_cs,mechanism_of_action,regulatory_action_type,submission_type,review_priority,approval_year,submission_status_date,product_type,route,dosage_form,substance_name,rxcui,unii
ANDA214419,ANDA,ASCENT PHARMS INC,VENLAFAXINE,VENLAFAXINE HYDROCHLORIDE,"XLCare Pharmaceuticals, Inc.",Prescription,,,,AP,ORIG,STANDARD,2020,20201021,HUMAN PRESCRIPTION DRUG,ORAL,"TABLET, EXTENDED RELEASE",VENLAFAXINE HYDROCHLORIDE,808744,7D7RX5A8MO
NDA017697,NDA,BRACCO,SINCALIDE,KINEVAC,Bracco Diagnostics Inc.,Prescription,Cholecystokinin Analog [EPC],Cholecystokinin [CS],,AP,SUPPL,STANDARD,2023,20231017,HUMAN PRESCRIPTION DRUG,INTRAVENOUS,POWDER,SINCALIDE,208236,M03GIQ7Z6P
ANDA090397,ANDA,BIONPHARMA,"IBUPROFEN, DIPHENHYDRAMINE HCL","IBUPROFEN, DIPHENHYDRAMINE HCL",Bionpharma Inc.,Over-the-counter,Nonsteroidal Anti-inflammatory Drug [EPC],"Anti-Inflammatory Agents, Non-Steroidal [CS]",Cyclooxygenase Inhibitors [MoA],AP,ORIG,,2010,20101122,HUMAN OTC DRUG,ORAL,CAPSULE,DIPHENHYDRAMINE HYDROCHLORIDE,901814,TC2D6JAD40
ANDA090080,ANDA,APOTEX,MOXIFLOXACIN,MOXIFLOXACIN,Apotex Corp.,Prescription,,,,AP,ORIG,,2017,20170630,HUMAN PRESCRIPTION DRUG,OPHTHALMIC,SOLUTION/DROPS,MOXIFLOXACIN HYDROCHLORIDE MONOHYDRATE,403818,B8956S8609
NDA020380,NDA,GALDERMA LABS LP,ADAPALENE,DIFFERIN,"Galderma Laboratories, L.P.",Over-the-counter,Retinoid [EPC],Retinoids [CS],,AP,SUPPL,STANDARD,2022,20220614,HUMAN OTC DRUG,TOPICAL,GEL,ADAPALENE,153183,1L4806J2QF
ANDA090061,ANDA,HETERO LABS LTD III,FINASTERIDE,FINASTERIDE,"Camber Pharmaceuticals, Inc.",Prescription,5-alpha Reductase Inhibitor [EPC],,5-alpha Reductase Inhibitors [MoA],AP,SUPPL,UNKNOWN,2015,20150319,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,FINASTERIDE,310346,57GNO57U7G
NDA020364,NDA,SANDOZ,AMLODIPINE BESYLATE AND BENAZEPRIL HYDROCHLORIDE,LOTREL,Novartis Pharmaceuticals Corporation,Prescription,,,,AP,SUPPL,STANDARD,2002,20020920,HUMAN PRESCRIPTION DRUG,ORAL,CAPSULE,AMLODIPINE BESYLATE,898342,N1SN99T69T
ANDA073589,ANDA,DR REDDYS LABS SA,CARBIDOPA AND LEVODOPA,CARBIDOPA AND LEVODOPA,Dr. Reddy's Laboratories Inc,Prescription,Aromatic Amino Acid Decarboxylation Inhibitor [EPC],"Amino Acids, Aromatic [CS]",DOPA Decarboxylase Inhibitors [MoA],AP,SUPPL,,1999,19990212,HUMAN PRESCRIPTION DRUG,ORAL,TABLET,CARBIDOPA,197443,MNX7R8C5VO
ANDA216819,ANDA,NANJING KING FRIEND,NICARDIPINE HYDROCHLORIDE,NICARDIPINE HYDROCHLORIDE,Meitheal Pharmaceuticals Inc.,Prescription,,,,AP,ORIG,STANDARD,2025,20250820,HUMAN PRESCRIPTION DRUG,INJECTION,INJECTABLE,NICARDIPINE HYDROCHLORIDE,858607,K5BC5011K3
ANDA211097,ANDA,APOTEX,TERIPARATIDE,TERIPARATIDE,Apotex Corp.,Prescription,Parathyroid Hormone Analog [EPC],Parathyroid Hormone [CS],,AP,SUPPL,STANDARD,2024,20241107,HUMAN PRESCRIPTION DRUG,SUBCUTANEOUS,SOLUTION,TERIPARATIDE,1435115,10T9CSU89I
